,index,Lesson(s) Learned Level 1,Lesson(s) Learned Level 2,Driving Event Level 1,Driving Event Level 2,Recommendation(s) Level 1,Recommendation(s) Level 2,Lesson IDs for row,Number of lessons for row
0,1,0.05021550750347447,0.05038575634035729,0.05563506569371417,0.028244498808334025,0.04876203522537564,0.048996137963971,n/a,n/a
1,0,0.7878231579349153,0.8126253278674306,0.8643128665288291,0.8998179443274871,0.8094400844573975,0.8262160020977704,n/a,n/a
2,1425,"activation, line, activate, prevent, locate, switch, emergency, personnel, valve, incorrectly","injury personnel, identify potential, building, communication, pipe, impossible, utility, outage, radio, protective","anomaly investigation, centaur, thrust, potable water, atlas centaur, cape canaveral, hughes, general purpose computer, engine start, dewar","weld joint, vibration induced, heat sink, maturity, furnace, cartridge, retesting, engineering drawing, open loop, dimensionally","risk assessment, self, orbital, constant, minute, radio frequency, personal, occurs, budget schedule, nature","late development, presentation, decision make, weekly, furthermore, contains, conflict, pull, face, schedule budget",[81],1
3,1493,"activation, line, activate, prevent, locate, switch, emergency, personnel, valve, incorrectly","injury personnel, identify potential, building, communication, pipe, impossible, utility, outage, radio, protective","anomaly investigation, centaur, thrust, potable water, atlas centaur, cape canaveral, hughes, general purpose computer, engine start, dewar","weld joint, vibration induced, heat sink, maturity, furnace, cartridge, retesting, engineering drawing, open loop, dimensionally","protection, fault protection, fault, shutdown, anomaly, spacecraft, detect, software, condition, hardware","valve, install, vent line, high pressure, check valve, utilize, prevent inadvertent, operation, system, vacuum",[47],1
4,539,"activation, line, activate, prevent, locate, switch, emergency, personnel, valve, incorrectly","injury personnel, identify potential, building, communication, pipe, impossible, utility, outage, radio, protective","base reliability, prefer, reliability, implementation method, technical, test benefit, reliability prefer, rationale, benefit, technical rationale","connector, discharge, electrostatic, voltage, electrostatic discharge, electrical, additional word, chassis, shield, harness","measure, bearing, constrain, impose, attitude control, frequency, limitation, constraint, condition, performance","charge, susceptible, electrostatic discharge, structural, mass, first, protect, damage, model, precaution",[1330],1
5,767,"activation, line, activate, prevent, locate, switch, emergency, personnel, valve, incorrectly","injury personnel, identify potential, building, communication, pipe, impossible, utility, outage, radio, protective","base reliability, prefer, reliability, implementation method, technical, test benefit, reliability prefer, rationale, benefit, technical rationale","connector, discharge, electrostatic, voltage, electrostatic discharge, electrical, additional word, chassis, shield, harness","remote, compliance, pressurization, analysis fmea, rigor, fmea, exists, correction, pressure, human factor","solder, research, indicate, instal, investigate, completion, avoid, experiment, connector, indication",[985],1
6,1209,"activation, line, activate, prevent, locate, switch, emergency, personnel, valve, incorrectly","injury personnel, identify potential, building, communication, pipe, impossible, utility, outage, radio, protective","base reliability, prefer, reliability, implementation method, technical, test benefit, reliability prefer, rationale, benefit, technical rationale","connector, discharge, electrostatic, voltage, electrostatic discharge, electrical, additional word, chassis, shield, harness","remote, compliance, pressurization, analysis fmea, rigor, fmea, exists, correction, pressure, human factor","assure adequate, insulate, electrostatic discharge, power, conductive, ground, discharge, circuit, connection, range",[448],1
7,1266,"activation, line, activate, prevent, locate, switch, emergency, personnel, valve, incorrectly","injury personnel, identify potential, building, communication, pipe, impossible, utility, outage, radio, protective","base reliability, prefer, reliability, implementation method, technical, test benefit, reliability prefer, rationale, benefit, technical rationale","optic, spherical, aberration, lens, spie, optical, focal, plane, beam, mirror","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load","flight hardware, configuration control, fail safe, make sure, launch vehicle, quality assurance, project manager, personnel involve, period time, high fidelity",[332],1
8,1584,"activation, line, activate, prevent, locate, switch, emergency, personnel, valve, incorrectly","injury personnel, identify potential, building, communication, pipe, impossible, utility, outage, radio, protective","base reliability, prefer, reliability, implementation method, technical, test benefit, reliability prefer, rationale, benefit, technical rationale","residue, cleanliness, particulate, molecule, contamination control, volatile, contaminates, molecular, cleaning process, performance degradation","crane, strap, second, lift, load, redesign, release, secure, stop, modify","spacecraft instrument, frequent, sample, contamination, witness, cleanliness, plate, objective, instrument, level","[323, 352]",2
9,750,"activation, line, activate, prevent, locate, switch, emergency, personnel, valve, incorrectly","injury personnel, identify potential, building, communication, pipe, impossible, utility, outage, radio, protective","breaker, effective maintainability benefit, base maintainability, recommend technique, circuit breaker, cost saving, technique number, effective maintainability, fault, saving","engine, main engine, main, space shuttle, abort, ssme, fuel pump, command data simulator, data simulator, large amount","subject, thermal vacuum test, temperature, thermal vacuum, thermal, flight, test, reliability, fatigue, component","space flight, research center, prior start, high voltage, high temperature, take account, training certification, power source, potential hazard, test article",[1006],1
